id,meantempm,maxtempm,mintempm,meantempm_1,meantempm_2,meantempm_3,meandewptm_1,meandewptm_2,meandewptm_3,meanpressurem_1,meanpressurem_2,meanpressurem_3,maxhumidity_1,maxhumidity_2,maxhumidity_3,minhumidity_1,minhumidity_2,minhumidity_3,maxtempm_1,maxtempm_2,maxtempm_3,mintempm_1,mintempm_2,mintempm_3,maxdewptm_1,maxdewptm_2,maxdewptm_3,mindewptm_1,mindewptm_2,mindewptm_3,maxpressurem_1,maxpressurem_2,maxpressurem_3,minpressurem_1,minpressurem_2,minpressurem_3,precipm_1,precipm_2,precipm_3
64,34,38,29,32,30,28,24,23,25,998.43,999.3,1000.04,82,94,100,36,36,60,37,36,31,27,25,24,26,26,26,22,21,24,1001,1001,1007,993,994,996,0,0,0
65,33,38,28,34,32,30,23,24,23,998.86,998.43,999.3,70,82,94,33,36,36,38,37,36,29,27,25,26,26,26,22,22,21,1002,1001,1001,994,993,994,0,0,0
66,33,38,28,33,34,32,22,23,24,999.96,998.86,998.43,73,70,82,31,33,36,38,38,37,28,29,27,26,26,26,21,22,22,1002,1002,1001,995,994,993,0,0,0
67,32,38,26,33,33,34,23,22,23,999.45,999.96,998.86,76,73,70,40,31,33,38,38,38,28,28,29,25,26,26,21,21,22,1002,1002,1002,994,995,994,0,0,0
68,31,37,25,32,33,33,24,23,22,998.33,999.45,999.96,89,76,73,35,40,31,38,38,38,26,28,28,25,25,26,22,21,21,1000,1002,1002,994,994,995,0.7,0,0
69,29,35,23,31,32,33,24,24,23,998.09,998.33,999.45,94,89,76,37,35,40,37,38,38,25,26,28,26,25,25,21,22,21,1000,1000,1002,993,994,994,16,0.7,0
70,28,31,26,29,31,32,24,24,24,999.24,998.09,998.33,89,94,89,40,37,35,35,37,38,23,25,26,25,26,25,22,21,22,1001,1000,1000,995,993,994,0.2,16,0.7
71,30,34,26,28,29,31,25,24,24,1000.34,999.24,998.09,94,89,94,66,40,37,31,35,37,26,23,25,27,25,26,23,22,21,1003,1001,1000,996,995,993,5,0.2,16
72,30,33,26,30,28,29,26,25,24,1000.26,1000.34,999.24,89,94,89,56,66,40,34,31,35,26,26,23,26,27,25,24,23,22,1002,1003,1001,996,996,995,0,5,0.2
73,26,28,25,30,30,28,26,26,25,1000.84,1000.26,1000.34,91,89,94,60,56,66,33,34,31,26,26,26,26,26,27,25,24,23,1003,1002,1003,997,996,996,0.6,0,5
74,26,28,24,26,30,30,26,26,26,1001.66,1000.84,1000.26,100,91,89,51,60,56,28,33,34,25,26,26,27,26,26,15,25,24,1003,1003,1002,999,997,996,23,0.6,0
75,27,31,23,26,26,30,26,26,26,1002.31,1001.66,1000.84,100,100,91,82,51,60,28,28,33,24,25,26,27,27,26,24,15,25,1005,1003,1003,998,999,997,51,23,0.6
76,28,34,23,27,26,26,25,26,26,1003.93,1002.31,1001.66,100,100,100,69,82,51,31,28,28,23,24,25,26,27,27,23,24,15,1006,1005,1003,1001,998,999,0,51,23
77,30,35,25,28,27,26,25,25,26,1003.69,1003.93,1002.31,100,100,100,49,69,82,34,31,28,23,23,24,26,26,27,23,23,24,1006,1006,1005,999,1001,998,0,0,51
78,30,36,25,30,28,27,24,25,25,1003.27,1003.69,1003.93,84,100,100,42,49,69,35,34,31,25,23,23,25,26,26,23,23,23,1006,1006,1006,999,999,1001,0,0,0
79,32,37,26,30,30,28,23,24,25,1003.05,1003.27,1003.69,84,84,100,36,42,49,36,35,34,25,25,23,24,25,26,21,23,23,1006,1006,1006,998,999,999,0,0,0
80,32,36,27,32,30,30,22,23,24,1002.77,1003.05,1003.27,74,84,84,34,36,42,37,36,35,26,25,25,23,24,25,20,21,23,1005,1006,1006,997,998,999,0,0,0
81,32,36,27,32,32,30,22,22,23,1001.84,1002.77,1003.05,74,74,84,34,34,36,36,37,36,27,26,25,23,23,24,21,20,21,1004,1005,1006,997,997,998,0,0,0
82,30,34,27,32,32,32,23,22,22,1002.64,1001.84,1002.77,74,74,74,39,34,34,36,36,37,27,27,26,24,23,23,20,21,20,1005,1004,1005,999,997,997,0,0,0
83,30,35,26,30,32,32,24,23,22,1004.37,1002.64,1001.84,89,74,74,52,39,34,34,36,36,27,27,27,26,24,23,22,20,21,1006,1005,1004,1000,999,997,0,0,0
84,30,35,26,30,30,32,24,24,23,1004.21,1004.37,1002.64,89,89,74,43,52,39,35,34,36,26,27,27,25,26,24,22,22,20,1006,1006,1005,1001,1000,999,0,0,0
85,27,30,24,30,30,30,24,24,24,1004.4,1004.21,1004.37,89,89,89,50,43,52,35,35,34,26,26,27,25,25,26,23,22,22,1007,1006,1006,1000,1001,1000,0,0,0
86,28,32,24,27,30,30,25,24,24,1005.23,1004.4,1004.21,94,89,89,69,50,43,30,35,35,24,26,26,27,25,25,23,23,22,1007,1007,1006,1002,1000,1001,6,0,0
87,27,31,23,28,27,30,25,25,24,1003.98,1005.23,1004.4,100,94,89,66,69,50,32,30,35,24,24,26,26,27,25,24,23,23,1006,1007,1007,1001,1002,1000,36,6,0
88,28,32,23,27,28,27,25,25,25,1002.77,1003.98,1005.23,100,100,94,66,66,69,31,32,30,23,24,24,27,26,27,24,24,23,1005,1006,1007,999,1001,1002,21,36,6
89,28,33,24,28,27,28,25,25,25,1002.82,1002.77,1003.98,100,100,100,59,66,66,32,31,32,23,23,24,26,27,26,25,24,24,1005,1005,1006,999,999,1001,9,21,36
90,28,32,24,28,28,27,26,25,25,1002.3,1002.82,1002.77,100,100,100,55,59,66,33,32,31,24,23,23,26,26,27,24,25,24,1005,1005,1005,999,999,999,0,9,21
91,26,27,24,28,28,28,25,26,25,1000.5,1002.3,1002.82,94,100,100,68,55,59,32,33,32,24,24,23,26,26,26,24,24,25,1003,1005,1005,997,999,999,9,0,9
92,28,32,23,26,28,28,25,25,26,998.93,1000.5,1002.3,100,94,100,84,68,55,27,32,33,24,24,24,27,26,26,24,24,24,1001,1003,1005,995,997,999,35,9,0
93,27,30,24,28,26,28,25,25,25,999.11,998.93,1000.5,100,100,94,57,84,68,32,27,32,23,24,24,28,27,26,24,24,24,1002,1001,1003,995,995,997,16,35,9
94,28,32,24,27,28,26,26,25,25,999.88,999.11,998.93,100,100,100,74,57,84,30,32,27,24,23,24,27,28,27,25,24,24,1002,1002,1001,996,995,995,15,16,35
95,30,33,26,28,27,28,26,26,25,1000.86,999.88,999.11,94,100,100,65,74,57,32,30,32,24,24,23,27,27,28,25,25,24,1003,1002,1002,996,996,995,0,15,16
96,29,33,25,30,28,27,26,26,26,1000.87,1000.86,999.88,89,94,100,38,65,74,33,32,30,26,24,24,27,27,27,16,25,25,1003,1003,1002,997,996,996,0,0,15
97,28,31,25,29,30,28,26,26,26,1001.42,1000.87,1000.86,94,89,94,56,38,65,33,33,32,25,26,24,27,27,27,25,16,25,1004,1003,1003,997,997,996,0,0,0
98,28,32,24,28,29,30,26,26,26,1001.07,1001.42,1000.87,100,94,89,66,56,38,31,33,33,25,25,26,27,27,27,25,25,16,1003,1004,1003,997,997,997,23,0,0
99,26,29,24,28,28,29,26,26,26,999.4,1001.07,1001.42,96,100,94,65,66,56,32,31,33,24,25,25,27,27,27,25,25,25,1002,1003,1004,995,997,997,2,23,0
100,25,27,23,26,28,28,25,26,26,1000.64,999.4,1001.07,100,96,100,28,65,66,29,32,31,24,24,25,26,27,27,6,25,25,1003,1002,1003,998,995,997,26,2,23
101,26,31,22,25,26,28,25,25,26,1003.11,1000.64,999.4,100,100,96,88,28,65,27,29,32,23,24,24,26,26,27,24,6,25,1006,1003,1002,1000,998,995,5,26,2
102,28,32,24,26,25,26,25,25,25,1004.53,1003.11,1000.64,100,100,100,63,88,28,31,27,29,22,23,24,26,26,26,23,24,6,1010,1006,1003,1001,1000,998,0,5,26
103,28,32,23,28,26,25,25,25,25,1003.62,1004.53,1003.11,100,100,100,63,63,88,32,31,27,24,22,23,26,26,26,24,23,24,1006,1010,1006,1000,1001,1000,0,0,5
104,28,32,24,28,28,26,25,25,25,1003.22,1003.62,1004.53,100,100,100,60,63,63,32,32,31,23,24,22,25,26,26,24,24,23,1005,1006,1010,999,1000,1001,0,0,0
105,27,32,22,28,28,28,23,25,25,1002.53,1003.22,1003.62,89,100,100,47,60,63,32,32,32,24,23,24,25,25,26,22,24,24,1004,1005,1006,999,999,1000,0,0,0
106,28,32,23,27,28,28,23,23,25,1000.88,1002.53,1003.22,94,89,100,44,47,60,32,32,32,22,24,23,24,25,25,21,22,24,1003,1004,1005,997,999,999,0,0,0
107,26,30,23,28,27,28,23,23,23,1001.42,1000.88,1002.53,89,94,89,54,44,47,32,32,32,23,22,24,25,24,25,22,21,22,1004,1003,1004,997,997,999,2,0,0
108,28,32,24,26,28,27,24,23,23,1002.27,1001.42,1000.88,94,89,94,69,54,44,30,32,32,23,23,22,25,25,24,22,22,21,1005,1004,1003,999,997,997,2,2,0
109,28,30,25,28,26,28,25,24,23,1001.45,1002.27,1001.42,89,94,89,63,69,54,32,30,32,24,23,23,26,25,25,23,22,22,1004,1005,1004,997,999,997,0.2,2,2
110,24,25,22,28,28,26,24,25,24,1000.19,1001.45,1002.27,94,89,94,58,63,69,30,32,30,25,24,23,26,26,25,23,23,22,1002,1004,1005,996,997,999,0.1,0.2,2
111,26,29,22,24,28,28,23,24,25,1001.04,1000.19,1001.45,100,94,89,78,58,63,25,30,32,22,25,24,24,26,26,22,23,23,1003,1002,1004,998,996,997,0.8,0.1,0.2
112,26,29,24,26,24,28,25,23,24,1003.27,1001.04,1000.19,100,100,94,70,78,58,29,25,30,22,22,25,26,24,26,24,22,23,1005,1003,1002,1000,998,996,0.3,0.8,0.1
113,26,28,23,26,26,24,25,25,23,1004.14,1003.27,1001.04,100,100,100,61,70,78,29,29,25,24,22,22,26,26,24,23,24,22,1013,1005,1003,1000,1000,998,7,0.3,0.8
114,27,31,23,26,26,26,25,25,25,1002.41,1004.14,1003.27,100,100,100,81,61,70,28,29,29,23,24,22,26,26,26,24,23,24,1005,1013,1005,999,1000,1000,14,7,0.3
115,31,39,23,27,26,26,25,25,25,1005.87,1002.41,1004.14,100,100,100,60,81,61,31,28,29,23,23,24,26,26,26,23,24,23,1008,1005,1013,1002,999,1000,0,14,7
116,28,32,25,31,27,26,24,25,25,1006.63,1005.87,1002.41,94,100,100,36,60,81,39,31,28,23,23,23,26,26,26,23,23,24,1009,1008,1005,1003,1002,999,0,0,14
117,26,30,21,28,31,27,25,24,25,1007.15,1006.63,1005.87,94,94,100,57,36,60,32,39,31,25,23,23,27,26,26,23,23,23,1010,1009,1008,1003,1003,1002,0,0,0
118,28,33,23,26,28,31,25,25,24,1007.44,1007.15,1006.63,100,94,94,70,57,36,30,32,39,21,25,23,27,27,26,23,23,23,1010,1010,1009,1003,1003,1003,18,0,0
119,28,33,24,28,26,28,25,25,25,1005.08,1007.44,1007.15,100,100,94,57,70,57,33,30,32,23,21,25,26,27,27,24,23,23,1007,1010,1010,1000,1003,1003,0,18,0
120,30,34,25,28,28,26,25,25,25,1003.73,1005.08,1007.44,100,100,100,70,57,70,33,33,30,24,23,21,27,26,27,24,24,23,1006,1007,1010,1000,1000,1003,4,0,18
121,26,30,23,30,28,28,25,25,25,1003.96,1003.73,1005.08,100,100,100,55,70,57,34,33,33,25,24,23,27,27,26,22,24,24,1006,1006,1007,999,1000,1000,8,4,0
122,28,33,24,26,30,28,24,25,25,1004.58,1003.96,1003.73,100,100,100,73,55,70,30,34,33,23,25,24,26,27,27,22,22,24,1007,1006,1006,1001,999,1000,0.8,8,4
123,28,33,23,28,26,30,24,24,25,1003.95,1004.58,1003.96,97,100,100,40,73,55,33,30,34,24,23,25,25,26,27,20,22,22,1006,1007,1006,1000,1001,999,0,0.8,8
124,27,32,22,28,28,26,23,24,24,1004,1003.95,1004.58,94,97,100,50,40,73,33,33,30,23,24,23,25,25,26,21,20,22,1006,1006,1007,1000,1000,1001,0,0,0.8
125,28,32,23,27,28,28,22,23,24,1006.34,1004,1003.95,89,94,97,29,50,40,32,33,33,22,23,24,23,25,25,16,21,20,1009,1006,1006,1003,1000,1000,0,0,0
126,28,32,23,28,27,28,21,22,23,1007,1006.34,1004,89,89,94,45,29,50,32,32,33,23,22,23,22,23,25,20,16,21,1009,1009,1006,1003,1003,1000,0,0,0
127,28,33,23,28,28,27,21,21,22,1007.47,1007,1006.34,83,89,89,42,45,29,32,32,32,23,23,22,22,22,23,19,20,16,1010,1009,1009,1004,1003,1003,0,0,0
128,29,34,24,28,28,28,21,21,21,1006.89,1007.47,1007,83,83,89,41,42,45,33,32,32,23,23,23,22,22,22,20,19,20,1009,1010,1009,1003,1004,1003,0,0,0
129,28,34,23,29,28,28,21,21,21,1007.97,1006.89,1007.47,83,83,83,41,41,42,34,33,32,24,23,23,22,22,22,21,20,19,1010,1009,1010,1005,1003,1004,0,0,0
130,28,34,23,28,29,28,20,21,21,1009.06,1007.97,1006.89,74,83,83,35,41,41,34,34,33,23,24,23,22,22,22,18,21,20,1012,1010,1009,1004,1005,1003,0,0,0
131,29,34,24,28,28,29,20,20,21,1008.09,1009.06,1007.97,78,74,83,38,35,41,34,34,34,23,23,24,21,22,22,19,18,21,1011,1012,1010,1004,1004,1005,0,0,0
132,28,34,22,29,28,28,20,20,20,1007.07,1008.09,1009.06,74,78,74,37,38,35,34,34,34,24,23,23,21,21,22,19,19,18,1009,1011,1012,1003,1004,1004,0,0,0
133,30,35,25,28,29,28,20,20,20,1007.23,1007.07,1008.09,79,74,78,33,37,38,34,34,34,22,24,23,21,21,21,18,19,19,1009,1009,1011,1003,1003,1004,0,0,0
134,28,34,23,30,28,29,20,20,20,1008.54,1007.23,1007.07,69,79,74,31,33,37,35,34,34,25,22,24,22,21,21,19,18,19,1011,1009,1009,1004,1003,1003,0,0,0
135,30,35,24,28,30,28,21,20,20,1008.51,1008.54,1007.23,82,69,79,38,31,33,34,35,34,23,25,22,23,22,21,19,19,18,1011,1011,1009,1004,1004,1003,0,0,0
136,30,36,24,30,28,30,21,21,20,1007.28,1008.51,1008.54,78,82,69,32,38,31,35,34,35,24,23,25,24,23,22,18,19,19,1010,1011,1011,1002,1004,1004,0,0,0
137,30,37,22,30,30,28,19,21,21,1006.26,1007.28,1008.51,70,78,82,22,32,38,36,35,34,24,24,23,23,24,23,16,18,19,1010,1010,1011,1001,1002,1004,0,0,0
138,30,36,23,30,30,30,19,19,21,1005.32,1006.26,1007.28,73,70,78,20,22,32,37,36,35,22,24,24,22,23,24,14,16,18,1008,1010,1010,1000,1001,1002,0,0,0
139,30,37,24,30,30,30,20,19,19,1006.23,1005.32,1006.26,78,73,70,23,20,22,36,37,36,23,22,24,23,22,23,17,14,16,1009,1008,1010,1002,1000,1001,0,0,0
140,32,37,26,30,30,30,20,20,19,1005.76,1006.23,1005.32,78,78,73,24,23,20,37,36,37,24,23,22,23,23,22,16,17,14,1008,1009,1008,1001,1002,1000,0,0,0
141,32,38,26,32,30,30,20,20,20,1004.84,1005.76,1006.23,79,78,78,17,24,23,37,37,36,26,24,23,24,23,23,10,16,17,1007,1008,1009,999,1001,1002,0,0,0
142,30,36,24,32,32,30,20,20,20,1006.52,1004.84,1005.76,66,79,78,20,17,24,38,37,37,26,26,24,23,24,23,16,10,16,1009,1007,1008,1001,999,1001,0,0,0
143,28,34,22,30,32,32,22,20,20,1008.43,1006.52,1004.84,78,66,79,33,20,17,36,38,37,24,26,26,24,23,24,18,16,10,1011,1009,1007,1001,1001,999,0,0,0
